LE07_L1TP_012009_20060811_20170107_01_T1	LE70120092006223EDC00
LE07_L1TP_012010_20060811_20170107_01_T1	LE70120102006223EDC00
LE07_L1TP_011010_20060804_20170109_01_T1	LE70110102006216EDC00
LE07_L1TP_013009_20060802_20170109_01_T1	LE70130092006214ASN00
LE07_L1TP_012009_20060726_20170107_01_T1	LE70120092006207EDC00
LE07_L1TP_012010_20060726_20170109_01_T1	LE70120102006207EDC00
LE07_L1TP_014009_20060708_20170108_01_T1	LE70140092006189EDC00
LE07_L1TP_011010_20060703_20170109_01_T1	LE70110102006184ASN00
LE07_L1TP_014009_20060606_20170108_01_T1	LE70140092006157EDC00
LE07_L1TP_013009_20060530_20170108_01_T1	LE70130092006150EDC00
LE07_L1TP_014009_20060521_20170108_01_T1	LE70140092006141ASN00
LE07_L1TP_014009_20060419_20170110_01_T1	LE70140092006109ASN00
LE07_L1TP_013009_20060327_20170110_01_T1	LE70130092006086EDC00
LE07_L1TP_012009_20050925_20170113_01_T1	LE70120092005268ASN00
LE07_L1TP_012010_20050925_20170113_01_T1	LE70120102005268ASN00
LE07_L1TP_014009_20050923_20170112_01_T1	LE70140092005266EDC00
LE07_L1TP_012009_20050909_20170113_01_T1	LE70120092005252EDC00
LE07_L1TP_012010_20050909_20170113_01_T1	LE70120102005252EDC00
LE07_L1TP_011010_20050817_20170113_01_T1	LE70110102005229EDC00
LE07_L1TP_012009_20050808_20170114_01_T1	LE70120092005220ASN00
LE07_L1TP_012010_20050808_20170114_01_T1	LE70120102005220ASN00
LE07_L1TP_014009_20050721_20170115_01_T1	LE70140092005202EDC00
LE07_L1TP_012009_20050707_20170114_01_T1	LE70120092005188EDC00
LE07_L1TP_011010_20050630_20170114_01_T1	LE70110102005181EDC00
LE07_L1TP_014009_20050619_20170114_01_T1	LE70140092005170EDC00
LE07_L1TP_012009_20050605_20170114_01_T1	LE70120092005156ASN00
LE07_L1TP_012010_20050605_20170115_01_T1	LE70120102005156ASN00
LE07_L1TP_014009_20050603_20170115_01_T1	LE70140092005154EDC00
LE07_L1TP_012009_20050520_20170114_01_T1	LE70120092005140EDC00
LE07_L1TP_012010_20050520_20170114_01_T1	LE70120102005140EDC00
LE07_L1TP_014009_20050518_20170114_01_T1	LE70140092005138EDC00
LE07_L1TP_011010_20050513_20170114_01_T1	LE70110102005133ASN00
LE07_L1TP_014009_20050502_20170114_01_T1	LE70140092005122EDC00
LE07_L1TP_011010_20050427_20170115_01_T1	LE70110102005117ASN00
